row_id,source_page,source_row,company,added_date,description,website,headcount,employees,country,region,city,url_slug,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_date,last_funding_type,last_funding_lead_investor,investor_type,investors,investment_count,company_address,growth_3mo_headcount,growth_6mo_headcount,growth_1yr_headcount,growth_2yr_headcount,growth_3yr_headcount,growth_4yr_headcount,growth_5yr_headcount,growth_3mo_web_traffic,growth_extra_1,growth_extra_2,qa_pass,qa_flags
72,1,77,Pensa Systems,"Jul 28, 2025 12.57 PM",specializing retail shelf technology provider inte Iligence. pensasystems. com,,51-200,134,United States,(USA),Texas,Austin,Venture Capital,2016,28.2,,"Jun 7, 2021",Series,ATX Venture Partners,nfa,ATX Venture Partn,,Austin;,~1%,43%,3%,-2%,2%,-0%,8 %,78%,162%,,no,missing_website
73,1,78,CallPoint New Europe EAD,"Jul 28, 2025 12.57 PM",~deve #TREEMIARTJWRA 1 lopment and consulting firm that_. software callpoint- group_ com,,"1,001-5,000",,nla,Bulgaria,Sotia City,Sofia,Venture Capital,2004,5.9,,"Jun 30,2011",Series,nla,nla,Global Finance,,,,,,,,,,,,,no,missing_website
74,1,79,GoFreight,"Jul 28, 2025 12.57 PM",GoFreight is in freight forwarding solutions. They software company specia provide _. llizing,gofreight.com,51-200,,United States,(USA),California,Los Angeles,Venture Capital,2017,28,24.1,"Nov 12, 2022",Series,Cornerstone Ventures U4;,nla,LFX Venture Partn,28,"Los Angeles, US",~1%,~0%,-0%,2%,11%,-22%,44%,192%,-17%,,yes,
75,1,81,ChannelEngine,"Jul 28, 2025 12.57 PM",provides ecommerce solutions for brands ChannelEngine [ digital platform that,channelengine.com,51-200,193,Netherlands,South Holland,Leiden,channelengine,Private Equity,2013,57.2,49.9,"Mar 14, 2022",Series,Airbridge Equity Partners,Corporate,~silverpointventure:,20,"Vondellaan 47; Leiden, 2332AA , NL",1%,~0%,0%,-3%,3%,-19%,24%,121%,394%,12%,yes,
76,1,82,Leverage,"Jul 28, 2025 12.57 PM",Leverage Al is company that offers Al-powered solutions supply chain management,tryleverage.ai,51-200,,United States,(USA),New York,New York,Venture Capital,2018,9.9,23,"Jul 13, 2023",Series,Chicago Ventures,nla,Tensility Venture [,23,New York; US,~2%,16%,16 %,-10%,29%,400%,650%,-12%,,,yes,
77,1,83,Findability Certified Professional,"Jul 28, 2025 12.57 PM",Findability Sciences specializing Al-driven solutions technology company for . findabilitysciences c,,51-200,,nla,United States,(USA),Massachusetts,Venture Capital,2010,7.3,7.3,"Jul 21, 2017",Series,nla,nla,nla,,"Jul 21, 2017",,,,,,,,,,,no,missing_website
78,1,84,Locus,,"28, 2025 12.57 PM Locus = offers an Al-driven platform for end-tO-end_ logistics technology provider that locus.sh",,201-500,314,United States,(USA),California,Milpitas,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_website ; missing_last_funding_type
79,1,86,ProjectManager,"Jul 28, 2025 12.57 PM",ProjectManager F ~softwa provider that offers project management comprehensi._ projectmanager:com,zeusmanagement.com,11-50,90,United States,(USA),Texas,Austin,Venture Capital,2008,3.5,3.5,"Jun 18,2014",Series,zeusmanagement com,nla,zeusmanagement,,"3420 Executive Center Drive; Austin, Texas 78731,US",3%,11%,26%,40%,76%,-12%,,,,,yes,
80,1,87,Dorabot,"Jul 28, 2025 12.57 PM",~smart warehouse solutions: They design _ robotics company specializing in,dorabot.com,51-200,,United States,(USA),Georgia,Peachtree,Venture Capital,2015,,,"Feb 27, 2018",Series,Sinovation Ventures (@IMI,nla,Sinovation Venturt,,"Peachtree Corners, Georgia GA 30071, US",~1%,43%,3%,-7%,-26%,-44%,~37%,~32%,,,yes,
81,1,88,Omie,,"28, 2025 12.57 PM Omie is a technology company that provides an online ERP management system designe omie",com.br,"1,001-5,000","1,578",Brazil,Sao Paulo,Sao Paulo,oinie,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
82,1,89,WitefmsimziR'A,"Jul 28, 2025 12.57 PM",#Wirt#FisrmtJiA] trading and data services company that _. steel,baochunsteel.com,51-200,,China,Hebei,Tangshan,%e5%94%90%e5_,Public,2010,7.3,7.3,"Jun 25, 2019",Series,nla,nla,nla,,"bWmbakrY iWv} #IL(0Mi69); EWm, patz 063000,",~20%,,,,,,,,,,yes,
83,1,91,Xpedeon,,"Jul 28, 2025 12.57 PM software provider that offers construction management comprehensi .",xpedeon.com,51-200,105,United Kingdom,(UK),England,London,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
84,1,94,OmniRetail Africa,"Jul 28, 2025 12.57 PM",OmniRetail trade management digital platform that provides solutions for omniretail africa,,51-200,808,Nigeria,Lagos,Lagos,oinniretail -,Venture Capital,2021,20,20,"Apr 27, 2025",Series,Aruwa Capital Managemen,Corporate,Norfund,73,"Lagos, Lagos, NG",4%,9%,366%,72%,,,,,,,no,missing_website
85,1,95,Engage3,"Jul 28, 2025 12.57 PM",Engage3 F that provides innovative software solutions pricing intelligence company,engage3.com,201-500,181,United States,(USA),California,Davis,Private Equity,2008,64,32,Dec 2021,,,,,32,"707 4th St; Davis, California 95616,US",4%,~5%,5%,1%,~9%,79%,123%,86 %,~42%,,no,missing_last_funding_type
86,1,96,Ironside Technologies,,"28, 2025 12.57 PM Infor is cloud-based enterprise software solutions software company that specializes",ironside.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
87,1,97,ParallelDots,"Jul 28, 2025 12.57 PM",specializing retail execution software_ ' technology company,paralleldots.com,51-200,338,United States,(USA),Washington,Seattle,,2017,6.5,4.5,"Mar 24, 2022",,,,,35,"600 Stewart Street;; Suite 300 and 400; Seattle, Washington",0%,~0%,-0%,10%,34%,146%,234%,389%,,,no,missing_last_funding_type
88,1,98,Prokeep,"Jul 28, 2025 12.57 PM",that provides communication solutions for. customer engagement platform,prokeep.com,51-200,101,United States,(USA),Louisiana,New Orleans,Venture Capital,2016,34,,"Nov 10, 2024",Series,bensoncpcom,nla,S3vc com,34,"New Orleans, LA 70115, US",6 %,~8%,-8 %,2%,14%,80%,152%,304%,-4%,,yes,
89,1,99,Hover,"Jul 28, 2025 12.57 PM",Hover E offers innovative construction software provider that solutions for measuring _ hover.to,,201-500,454,United States,(USA),California,San Francisco,Private Equity,2011,124.3,46,"Nov 16, 2020",,,,,46,"225 Bush St; 7th Floor; San Francisco, California 94104,US",~0%,-1%,-3%,3%,11%,43%,13%,62%,-23%,,no,missing_website ; missing_last_funding_type
90,1,100,Beacon,,"28, 2025 12.57 PM Beacon is a software company specializing in supply chain visibility solutions_ offers_",beacon.com,11-50,,United Kingdom,(UK),England,London,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
91,1,101,Company,"Jul 28, 2025 12.57 PM",Akeneo in product information management (PIM) &. technology company specializing,akeneo.com,,,,,,,Private Equity,2013,196.4,135,"Mar 14, 2022",Series,Alven,Corporate,Kima Ventures,45,"place General Mellinet; NANTES, FRANCE 44100, FR",4%,7%,49%,93%,132%,-5%,,,,,yes,
92,1,102,Alegra,"Jul 28, 2025 12.57 PM",accounting and invoicing solutions software company that provides lored,alegra.com,201-500,681,Colombia,Antioquia,Medellin,alegra,Private Equity,2012,0.1,48,"Jul 10,2023",Series,Riverwood Capital,nla,Riverwood Capital,48,"Carrera 43C; 5-115; Medellin, Medellin 03100,CO",2%,28 %,22%,54%,132%,477%,751%,-12%,,,yes,
93,1,103,Flexe,"Jul 28, 2025 12.57 PM",flexible warehousing infrastructure and_. logistics company that provides,flexe.com,51-200,220,United States,(USA),Washington,Seattle,Private Equity,2013,263,119,"Jul 5,2022",Series,Activate Capital,nla,Redpoint,119,"4786 Ist Ave S; 106; Seattle, Washington 98134,US",41%,43%,~3%,-7%,~51%,~50%,-12%,49%,~45%,,yes,
94,1,104,Galley,,"Jul 28, 2025 12.57 PM Galley Solutions, Inc. technology company that offers foodservice Culinary_.",galleysolutions.com,11-50,,United States,(USA),California,San Diego,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
95,1,105,Group,"Jul 28, 2025 12.57 PM","Enotek Group manufacturer and software solutions provid_ logistics equipment enotekcom ""201-500 China Shanghai Shanghai Asliftchina",com.cn,,,,,,,Venture Capital,2008,15.6,15.6,Jan 2022,Series,octcapital com.cn,nla,octcapital com.cn,,"No. 2337 Gudai Road, Minhang District; Shanghai,",~2%,~3%,43%,3%,~4%,,,,,,yes,
96,1,107,Physna,"Jul 28, 2025 12.57 PM",specializes technology company that 3D geometric search and_.,physna.com,51-200,,United States,(USA),Ohio,Columbus,Private Equity,2015,,,"Jun 30, 2021",Series,GV (Google Ventures),nla,Drive Capital,,"250 West St; Columbus, Ohio 43215, US",~9%,-28%,~37%,-37%,~42%,~56%,~31%,27%,774%,,yes,
97,1,108,Rabbot,,"Jul 28, 2025 12.57 PM Rabbot is specializing in fleet management software. technology solutions company rabbotco",,11-50,,Brazil,Sao Paulo,Sao Paulo,rabbot-co,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_website ; missing_last_funding_type
98,1,109,Fulcrum,,"28, 2025 12.57 PM manufacturing solutions. software company specializing in",offers.cloud,51-200,,United States,(USA),Minnesota,Minneapolis,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
99,1,110,Everysens,"Jul 28, 2025 12.57 PM",specializing rail transport management logistics technology provider,everysens.com,51-200,,France,ile-De-France,Paris,~evrerysens,Venture Capital,2015,6.7,6.6,May 2023,Series,Aglae Ventures,nla,Kima Ventures,,"11 bis rue Beaurepaire; Paris, Ile-de-France 75010, FR",-2%,-12%,-10%,-18 %,10%,36 %,78%,148%,,,yes,
100,1,111,SELLinALL,"Jul 28, 2025 12.57 PM",Graas specializing in eCommerce analytics: data solutions company offer _.,graas.ai,201-500,,Singapore,nla,nla,~seiIl-in-all,Private Equity,2015,40,,"Aug 16, 2022",Series,ajcapital com,Corporate,yujventures com,40,"ebar Rd; Az@payalebar; Singapore, 409015,",-14%,-28%,336%,~82%,-73%,~59%,68%,,,,yes,
101,1,112,Toolio,,"Jul 28, 2025 12.57 PM a merchandising platform designed to_ technology company that provides",toolio.com,51-200,,United States,(USA),New York,Brooklyn,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
102,1,113,Xfactorio,,"Jul 28, 2025 12.57 PM Xfactorio is a business consulting company that specializes in providing an intelligent Go__ xfactorio",decisionlink.com,51-200,,United States,(USA),California,San Francisco,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
103,1,114,Proggio,"Jul 28, 2025 12.57 PM",Proggio is provider that offers project management software comprehensive platfor _,proggio.com,11-50,,Israel,Center,Kefar Sava,ploggio,Venture Capital,2015,,,"Apr 11, 2022",Series,2.0 Ventures,nla,Mangrove Capital,,"13 Hataas St;; Kfar Saba, Hasharon Distinct, IL",-11%,-15%,-31%,31%,-27%,10%,88 %,19%,,,yes,
104,1,115,Shippit,"Jul 28, 2025 12.57 PM",Shippit i provides multi-carrier shipping software and_ logistics technology company that,shippit.com,51-200,159,Australia,New South Wales,Sydney,shippit,Venture Capital,2014,79.4,46.2,May 2022,Series,Perennial Partners,Corporate,rtlgroupinvestmen,,"4-6 Bligh Street; Level 2; Sydney; New South Wales 2000, AU",4%,3%,~2%,2%,-15%,~7%,21%,117%,-6 %,,yes,
105,1,116,Goodshutfle,"Jul 28, 2025 12.57 PM",Goodshuffle Pro is a software company that provides event rental management solutions.,goodshuffle.com,11-50,,United States,(USA),District Of,Columbia,Venture Capital,2015,5.3,,Feb 2024,Series,FINTOP Capital,nla,FINTOP Capital,,,,,,,,,,,,,yes,
106,1,118,SENRTJRRA,"Jul 28, 2025 12.57 PM",SnENiTJiA] ~company that spech iallzes ' EDA software providing,xtimes-da.com,51-200,,China,Jiangsu,Nanjing,"e8%8a""af%e8_",Venture Capital,2020,15.8,,"May 27, 2024",,,,,,"'tT6e; [95, CN",3%,-10%,,,,,,,,,no,missing_last_funding_type
107,1,119,Webshippy,"Jul 28, 2025 12.57 PM",Webshippy i specializes fulfillment and dropshipping__ logistics company that,webshippy.com,51-200,,Hungary,nla,nla,ebshippy,Venture Capital,2016,,,"Jun 29,2022",Series,Day One Capital,nla,Hiventures,,"East Gate Business Park; C/2;; Fot; 2151, HU",~9%,-7%,-28%,~53%,2%,85%,,,,,yes,
108,1,120,EdenFarm,,"Jul 28, 2025 12.57 PM EdenFarm is agricultural and food distribution sectors It__ company that operates the",edenfarm.id,"501-1,000",215,Indonesia,Jakarta,West Jakarta,pil-eden-pangan-,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
109,1,121,Movista,,"JJul 28, 2025 12.57 PM retail execution solutions. The company offe. SaaS provider specializing movista com",406.se,51-200,165,United States,(USA),Arkansas,Bentonville,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
110,1,122,Optilogic Inc.,"Jul 28, 2025 12.57 PM",that Optilogic is offers advanced solutions for supply- supply chain software provider,optilogic.com,51-200,,United States,(USA),Michigan,Ann Arbor,Venture Capital,2019,53,309,"Apr 7, 2025",Series,MK Capital,Corporate,MK Capital,309,"Main St; Ann Arbor; Michigan 48104, US",22%,38 %,67%,159%,284%,746%,075 %,42%,,,yes,
111,1,123,RetaiICRM,"Jul 28, 2025 12.57 PM",RetaiICRM is in solutions for businesses CRM provider that specializes the retail and__. retailcrm ru,,51-200,,Russia,Moscow,Moscow,retailcrm,Venture Capital,2013,0.6,0.6,"Jul 13, 2015",Series,nla,nla,nla;,,nla;,2 %,-2%,2%,-10%,-29%,~2%,56 %,41%,,,no,missing_website
112,1,124,dolado,"Jul 28, 2025 12.57 PM",Dolado provider that connects sellers and industries_ digital marketplace and logistics,dolado.com,51-200,,Brazil,Sao Paulo,Sao Paulo,crimpredolado,Venture Capital,2020,12.2,,Apr = 2022,Series,Clocktower Ventures,nfa,Endeavor,,"Sao Paulo, BR",2 %,2%,5%,~31%,127%,,,,,,yes,
113,1,125,Sight Machine,,"28, 2025 12.57 PM Sight Machine is a data analytics company specializing manufacturing data solutions_",sightmachine.com,51-200,,United States,(USA),California,San Francisco,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
114,1,126,Vitally,"Jul 28, 2025 12.57 PM",Vitally is provides businesses with tools Customer Success atform that enhance.,vitally.io,51-200,116,United States,(USA),New York,Brooklyn,Venture Capital,2017,39.3,30,"Feb 21, 2023",Series,HubSpot,nla,HubSpot,30,"Brooklyn, NY 11249, US",18 %,14%,16 %,23%,146%,728%,954%,12%,,,yes,
115,1,127,YottaMark,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM iFoodDS is a software company specializing in food safety, traceability, and quality __ food safety, traceability, ad quality_ yottamarkcom",yottamark.com,51-200,,United States,(USA),California,Redwood City,Private Equity,2005,45.1,,"Aug 14, 2012",Series,Series D,ataventures com,Corporate,,"1400 Bridge Parkway; Suite 101; Redwood City; CA 94065, US",-12%,12%,,,,,,,,,yes,
116,1,128,Scurri,"Jul 28, 2025 12.57 PM",Scurri is a delivery management software Scurri is provider that offers solutions Iike Scurri__. provider that offers solutions like Scurri _. delivery management software,scurri.com,51-200,,United States,(USA),Pennsylvania,Wexford,Venture Capital,2010,18.5,10.9,"Jun 14,2021",Series,Act Venture Capital,Corporate,Episode,,"Common Quay Street; Wexford, IE",~1%,~4%,-4%,4%,-1%,25%,42%,76%,76 %,33%,yes,
117,1,129,Proximity,"Jul 28, 2025 12.57 PM","JJul 28, 2025 12.57 PM Proximity is specializing in clienteling solutions for retail_ specializing in clienteling solutions for retail__ retail technology provider 'retail technology provider",proximityinsight.com,11-50,,(UK),United Kingdom,England,London,Venture Capital,2018,7.2,,"Mar 27, 2022",Series,Gresham House,Ventures,Corporate,,"Runway East, 52 Tabernacle Street; London, England ECZ A4NJ,",-7%,~7%,-9%,~9%,9%,-13%,~20%,7%,44%,-6%,yes,
118,1,130,Keen Decision Systems,"Jul 28, 2025 12.57 PM",analytics company analytics company that provides an Al _ {tha provides marketing Al-_,keends.com,11-50,,United States,(USA),North Carolina,Durham,Venture Capital,2010,17.9,,"Jul 18, 2022",Series,Ballast Point Ventures,nja,nla,,"27709, US",10%,18 %,-1%,13%,54%,72%,,,,,yes,
119,1,131,Kevala,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM provides software solutions provides software solutions for grid_ an energy analytics company that energy analytics company that grid.",kevala.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2014,,,"Aug 30, 2021",Series,C5 Capital,nla,nja,,"550 California St; #625; San Francisco, California 94104, US",-12%,~40%,-40%,-20%,~20%,-26%,-35%,41%,177%,225%,yes,
120,1,132,Naologic,"Jul 28, 2025 12.57 PM",Naologic is Naologic /,al-enabled.no,51-200,,United States,(USA),California,San Francisco,Venture Capital,2017,,,Jan 2023,Series,nja,nla,nla,,"San Francisco, California 94103, US",-9%,9%,-16%,-16 %,11%,42%,233%,,,,yes,
121,1,133,Ambition,"Jul 28, 2025 12.57 PM","28, 2025 12.57 PM Ambition is a sales coaching software provider that offers Ambition is sales coaching software comprehensive platfor _ comprehensive platfor __",ambition.com,51-200,,United States,(USA),Tennessee,Chattanooga,Private Equity,2013,21.2,15.5,"Oct 6, 2021",Series,Nashville Capital Network,nfa,nja,,"1603 Fagan St; Chattanooga, Tennessee 37408,US",1%,-1%,-4%,4%,~22%,-22%,~40%,40%,13%,-24%,yes,
122,1,134,Canibuild,"Jul 28, 2025 12.57 PM",canibuild innovative innovative site planning solutions for__. canibuild is cme software company that provides planning solutions fon ',canibuild.com,51-200,90,Australia,New South Wales,Barangaroo,verumtek,Venture Capital,2020,9.4,5.8,Mar 2022,Series,Evp,nja,nla,,"Barangaroo, New South Wales 2000,AU",-1%,~1%,~4%,-4%,4%,7%,-7%,50%,246%,542%,yes,
123,1,135,Kojo,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM Kojo is material management solutions for the__ material management solutions for the: software company that provides",usekojo.com,51-200,159,United States,(USA),California,San Francisco,Venture Capital,2018,83.6,,"Sep 13, 2022",Series,8vc,nla,nja,,"San Francisco, California 94103, US",7%,13%,8 %,31%,62%,20%,,,,,yes,
124,1,136,Toucan,"Jul 28, 2025 12.57 PM",company that provides solutions for data__. company that provides solutions Toucan Toco is Toco data analytics software for data.,toucantoco.com,51-200,80,United States,(USA),Massachusetts,Boston,Venture Capital,2015,13.2,13.2,"Nov 27, 2019",Series,Balderton Capital,nla,nja,,"75 State St; Boston, Massachusetts 02109, US",1%,43%,~3%,3%,-6%,6%,6 %,~20%,-40%,~37%,yes,
125,1,137,Cascade,"Jul 28, 2025 12.57 PM",Cascade = offers ~offers comprehensive platform for strateg_ comprehensive platform for strateg .. strategy software company that,cascade.app,51-200,234,United States,(USA),New York,New York,Venture Capital,2016,20,,"Mar 20, 2022",Series,Carthona Capital,nfa,nja,20,"10005, US",9%,24%,-2%,~3%,3%,25%,46%,-11%,,,yes,
126,1,138,Explorate,"Jul 28, 2025 12.57 PM",Explorate is in freight forwarding and supply chain_. logistics company specializing,explorate.co,51-200,,Australia,Queensland,Fortitude Valley,exploratehq,Venture Capital,2017,,,"Jan 19, 2022",Series,Evp,nja,Cardinia Ventures,,"Valley , Queensland 4006, AU",~1%,-5%,5%,-11%,9%,175%,400%,,,,yes,
127,1,139,Voze,"Jul 28, 2025 12.57 PM",offers innovative solutions for field sales: Voze is sales technology company that,voze.com,51-200,,United States,(USA),Utah,Draper,Venture Capital,2022,,,"Oct 27, 2024",,,,,,"344 W 13800 S; Suite #550; Draper; Utah 84020, US",5%,19%,167%,368 %,,,,,,,no,missing_last_funding_type
128,1,140,Replica,"Jul 28, 2025 12.57 PM",Replica is provides tools and datasets for transportatio__ data analytics company that,replicahq.com,51-200,,United States,(USA),Kansas,Leawood,Venture Capital,2019,,,"Apr 20, 2021",Series,Firebrand Ventures,nja,Sidewalk Labs (Pa,,"3610 W 95th Street; Leawood, KS 66206, US",41%,1%,-1%,-8%,-8 %,-21%,-41%,-10%,88 %,-17%,yes,
129,1,141,MyTime,"Jul 28, 2025 12.57 PM","scheduling, point of sale, and software company that provides marketing_",mytime.com,11-50,143,United States,(USA),California,Los Angeles,Venture Capital,2013,19.5,500,"Apr 19,2017",,,,,500,"5670 Wilshire Blvd; PH4; Los Angeles, California 90036,US",1%,7%,10%,31%,134%,155%,217%,,,,no,missing_last_funding_type
130,1,142,ChapsVision,"Jul 28, 2025 12.57 PM",specializes in data analysis and customer_ ChapsVision is software company that,chapsvision.fr,,,,,,,Private Equity,2019,283.5,90.1,"Nov 17, 2024",,,,,,"92150, FR",105%,137%,161%,262%,416 %,426 %,912%,-32%,,,no,missing_last_funding_type
131,1,143,UserVoice,"Jul 28, 2025 12.57 PM",UserVoice is a software company that specializes in product feedback manageme,uservoice.com,11-50,,United States,(USA),North Carolina,Raleigh,Venture Capital,2008,9.6,7.5,"Sep 14,2015",Series,nia,nja,LocalGlobe,,"234 Fayetteville St; 3rd Floor; Raleigh, NC 27601,US",2%,-13%,~27%,-32%,,,,,,,yes,
132,1,144,WAR,"Jul 28, 2025 12.57 PM",provides pricing and supply chain solutions: 123N4R is plastic materials supplier that,zhaosuliao.com,201-500,,China,Guangdong,Guangzhou,%e6%89%be%es_,Venture Capital,2014,,,,Series,Horizons Ventures,nja,Zhen Shun Investr,"27,","510000, CN",-3%,42%,3%,15 %,25%,,,,,,yes,
133,1,145,Alleaves,"Jul 28, 2025 12.57 PM",cannabis technology solutions. They provid_ software company specializing in,alleaves.com,51-200,,United States,(USA),Florida,Fort Lauderdale,Venture Capital,2018,,,"Jul 18, 2022",Series,theelevenfund com,Corporate,~theelevenfundcon,,"6750 N Andrews Ave Suite 325; Fort Lauderdale; FL 33309, US",13%,23%,8 %,188 %,136 %,~87%,,,,,yes,
134,1,146,CBX Soitware,"Jul 28, 2025 12.57 PM",software provider that offers TradeBeyond supply chain management ~suite of__,cbxsoftware.com,201-500,161,Hong Kong,SAR,nla,nia,Venture Capital,1995,,,May 2022,Series,Baring Private Equity Asia,nja,Baring Private Equ,,,1%,3%,8 %,,,,,,,,yes,
135,1,147,Kilo,"Jul 28, 2025 12.57 PM","wholesalers and retailers, Kilo is an commerce platform that connects facilitating efficien _ kilo.vn",,51-200,,Vietnam,Ho Chi Minh,Ho Chi Minh,City,Venture Capital,2020,,,"Apr 27, 2022",Series,FJ Labs,nja,~ratio ventures,,"Ho Chi Minh City, VN",1%,34%,-4%,~4%,162%,384%,,,,,no,missing_website
136,1,148,EaswiaaXTRA,"Jul 28, 2025 12.57 PM",Shanghai Laoqin Information Technology Co Ltd. is a labor management software provide,coho.com,51-200,,China,Shanghai,Shanghai,%e4%b8%8a%e6_,Venture Capital,2014,15.2,14.5,"Dec 17, 2018",Series,China Growth Capital,nja,China Growth Cap,,6041;,12%,22%,,,,,,,,,yes,
137,1,149,Plecto Latinoamerica,"Jul 28, 2025 12.57 PM",performance management solutions through Plecto software company that provides,plecto.com,1-10,,Guatemala,Guatemala,Guatemala,City,Venture Capital,2012,1.5,1.5,"Jun 27, 2019",Series,Nordic Eye Venture,Grow,nja,,"Jun 27, 2019",-44%,,,,,,,,,,yes,
138,1,150,Optera,"Jul 28, 2025 12.57 PM",company that provides solutions for. carbon management software,opteraclimate.com,11-50,,United States,(USA),Colorado,Boulder,Venture Capital,2006,25.7,,"Sep 10, 2023",Series,AngelList,nja,Stout Street Capit:,,"1215 Spruce St; 201; Boulder; Colorado 80302, US",-29%,-25%,-22%,-17%,29%,200%,2%,,,,yes,
139,1,151,ArchiPro,"Jul 28, 2025 12.57 PM",customers with ArchiPro is digital platform that connects wide range products an:,archipro.co,51-200,128,New Zealand,Auckland,Auckland,archipro,Private Equity,2014,38.7,32.6,Mar 2022,Series,Icehouse Ventures,nja,Liger Trading NZ,,"Saint Georges Bay Road; Auckland, AUK, NZ",-3%,10%,-23%,-26%,62%,106%,,,,,yes,
140,1,152,Easyecom,"Jul 28, 2025 12.57 PM",specializing in eCommerce solutions It offer_ EasyEcom is a white-collar service company easyecomio 160 India Karnataka Bengaluru ealsyecom,solutions.it,51-200,160,India,Karnataka,Bengaluru,ealsyecom,Venture Capital,2015,,,Jan 2022,Series,nja,nja,boldbydesign com,,"BLOOMINGDALE LAYOUT, OPPOSITE QUETZEL,",5 %,11%,28%,35%,146%,290%,540%,,,,yes,
141,1,153,ave,,"NewStore Jul 28, 2025 12.:57 PM specializing in omnichannel solutions for_ NewStore retal Itechnology provider",newstore.com,201-500,207,United States,(USA),Massachusetts,Boston,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
142,1,154,Djust,,"Jul 28, 2025 12.:57 PM DJUST is offers unified platform for businesses to_ BZB eCommerce provider that",djust.io,51-200,,France,ile-De-,-France,Paris,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
143,1,155,Wandelbots,"Jul 28, 2025 12.57 PM",that specializes in robotics software company providing innovative:,wandelbots.com,51-200,115,Germany,Saxony,Dresden,wandelbots,Private Equity,2017,122.2,84,"Jan 24, 2022",Series,83north,nja,SquareOne Ventur,84,"RayskistraBe 25; Dresden, Saxony 01219, DE",0%,3%,9%,-21%,-17%,13%,88 %,~52%,,,yes,
144,1,156,LeadIQ,,"Jul 28, 2025 12.:57 PM Leadlq provides platform for B2B prospecting: It _ sales technology company that",leadiq.com,51-200,129,United States,(USA),California,San Francisco,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
145,1,157,Walnut,,"Jul 28, 2025 12.:57 PM Walnut is a software company that specializes in interactive demo solutions for sales and.",walnut.io,51-200,107,United States,(USA),New York,New York,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
146,1,158,Jow,,"Jul 28, 2025 12.:57 PM Jow is a grocery delivery and meal planning ~service that helps consumers streamline the_",jow.fr,51-200,155,France,ile-De-France,Paris,shop-jow,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
147,1,159,Staffinc Group,"Jul 28, 2025 12.57 PM",Staffinc specializes in labor supply ad HR services_ an outsourcing company that,staffinc.co,51-200,336,Indonesia,Jakarta,Jakarta,staffinc-group,Venture Capital,2018,3.9,3.9,"Aug 31, 2023",Series,Access Ventures,nja,Altara Ventures,24,"Tower; JI H.R Rasuna Said No.13, RT.ZIRW.2, Kuningan,",12%,28%,92%,166 %,,,,,,,yes,
148,1,160,Oto,,"Jul 28, 2025 12.:57 PM specializing in eCommerce delivery _ OTO is white-collar service company",tryoto.com,51-200,253,United States,(USA),Arkansas,Mena,,,,,,,,,,,,,,,,,,,,,,no,missing_added_date ; missing_last_funding_type
149,1,161,NextBillion.a,"Jul 28, 2025 12.57 PM",specializing in logistics and route optimizati_,nextbillion.ai,51-200,,Singapore,nla,Singapore,extbillion-ai,Venture Capital,2020,37.3,,"Sep 21, 2022",Series,Microsoft Accelerator,nja,Mirae Assets,,"Straits Vw; Marina South, Singapore 018978, SG",-10%,-16%,-23%,-13%,23%,97%,25%,,,,yes,
150,1,162,Logistics Operating,"Jul 28, 2025 12.57 PM",specializing in supply chain solutions. They__ Grydd logistics software provider,grydd.com,51-200,,United States,(USA),Washington,Seattle,Venture Capital,2018,0.9,,"Jun 30,2024",Series,BDev Ventures,nja,newchip com,,"2815 Elliott Ave; 10O; Seattle, Washington 98121, US",-9%,-6%,6 %,-17%,16 %,93%,480%,,,,yes,
