company,added_date,status,description,website,headcount,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_type,last_funding_lead_investor,company_address,growth_metrics,source_page,source_row,raw_row_text
DOSS.COM,"Jul 28, 2025 12.57 PM",save | hide,Doss in providing enterprise resource planning_. software company that specializes San Francisco oilonata-operations,doss.com,11-50,Venture Capital,2019,,23.4,Series,20sales.vc,"San Francisco, CA, US",10% | 35% | 157% | 285% | 311%,,,"save | hide | DOSS.COM | Jul 28, 2025 12.57 PM | Doss | in providing enterprise resource planning_. | software company that specializes | doss.com | 11-50 | United States | (USA) | California | San Francisco | oilonata-operations | Load contacts | ntacts | Venture Capital | 2019 | 23.4 | Apr 14, 2025 | Series | 20sales.vc | nla | 2sales vc | nla | nla | nla | nla | 10% | 35% | 157% | 285% | nla | nla | nla | 311% | San Francisco, CA, US | nla | nla | nla | nla | nla"
Dropit,"Jul 28, 2025 12.57 PM",hide,Dropit is offers omnichannel fulfillment solutions and_ retail technology provider that dropit shop diopit-shopping,vault-inv.com,51-200,,2016,,49.8,Series,vault-invcom,"Regent Street; United Kingdom , GB",-2% | 3% | -10% | ~25% | -19% | -23% | ~25%,,,"hide | Dropit | Jul 28, 2025 12.57 PM | Dropit is | offers omnichannel fulfillment solutions and_ | retail technology provider that | dropit shop | 51-200 | United Kingdom | (UK) | nla | nla | diopit-shopping | Load contacts | ntacts | Sponsor | Other Financial | 2016 | 49.8 | 24.8 | Nov | 2022 | Series | vault-invcom | nla | vault-inv.com | nla | nfa | nfa | nla | -2% | 3% | -10% | ~25% | -19% | -23% | ~25% | nia | Regent Street; United Kingdom , GB | nfa | nfa | nfa | nla | ~nla"
Eaenu#IaEiXTRA],"Jul 28, 2025 12.57 PM",save | hide,specializing in sales force automation. eBest Mobile is a technology company ~eBest Mobile = specializing in sales force automation _ technology company ebestmobile com %e4%b8%8a%e6. %e4%b8%8a%e6_,ebestmobile.com,"501-1,000",Venture Capital,2000,,,Series,Sinovation Ventures (@IMiI,"m, Lwm 200030, CN",-6% | ~6% | 6 % | -6% | ~6 % | 6 % | 6 % | ~21% | 221% | ~21%,,,"save | hide | EaenM#IEiXTRAJ | Eaenu#IaEiXTRA] | Jul 28,2025 12.57 PM | Jul 28, 2025 12.57 PM | specializing in sales force automation. | eBest Mobile is a technology company | ~eBest Mobile = | specializing in sales force automation _ | technology company | ebestmobile com | 501-1,000 | China | Shanghai | Shanghai | %e4%b8%8a%e6. | %e4%b8%8a%e6_ | Load contacts | ntacts | Venture Capital | 2000 | nla | nia | Feb 28,2014 | Feb 28, 2014 | Series | Sinovation Ventures (@IMiI | Sinovation Ventures (@IMI | nla | Sinovation Venture | nja | nla | nla | nla | nja | nja | nla | nla | -6% | ~6% | 6 % | -6% | ~6 % | 6 % | 6 % | ~21% | 221% | ~21% | nla | nla | FA(LwnMRSit4E976E4985140522301-843E; EN | m, 1N4m 200030, CN | PD(tXnAESit4E976244985140122301-8431E; EN | m, Lwm 200030, CN | nla | nla | nla | nfa | nla | ~nla | nla"
Earri#WEE TRA],"Jul 28, 2025 12.57 PM",save | hide,"Shanghai Fineex Supply Chain Management Co , Ltd_ logistics company that__. fineex com le4%b8%8a%e6_",fineex.com,"501-1,000",Venture Capital,2006,,160.8,Series,nla,"2Wb218588535*71+3217-32272; EXem, ENm",1% | 1% | -9% | ~34% | 30%,,,"save | hide | Earri#WEE TRA] | Jul 28, 2025 12.57 PM | Shanghai Fineex Supply Chain Management | Co , Ltd_ | logistics company that__. | fineex com | 501-1,000 | China | Shanghai | Shanghai | le4%b8%8a%e6_ | Load contacts | ntacts | Venture Capital | 2006 | 160.8 | Jun 15, 2023 | Series | nla | nla | P#LERECi? | nla | nla | nla | nla | nla | 1% | 1% | nla | -9% | ~34% | 30% | nla | 200431, CN | 2Wb218588535*71+3217-32272; EXem, ENm | nla | nla | nla | nla | nlal"
EASANTJRRA],"Jul 28, 2025 12.57 PM",save,"Mabang Technology Co , Ltd. comoanv specializing in cross ;-border e .. software mabangerp",mabangerp.com,"501-1,000",Venture Capital,2010,,77.2,Series,MNTtz VRMTJRRA ],"May 15, 2022",-13% | ~7% | -8 %,,,"save | (hide | EASANTJRRA] | Jul 28, 2025 12.57 PM | Mabang Technology Co , Ltd. | comoanv | specializing in cross | ;-border e .. | software | mabangerp.com | 501-1,000 | China | Shanghai | Minhang | mabangerp | Load contacts | ntacts | Venture Capital | 2010 | 77.2 | 44.2 | May 15, 2022 | Series | MNTtz VRMTJRRA ] | nla | Srmrt12 | nla | nla | nla | nla | nla | nla | nla | -13% | ~7% | nla | nla | -8 % | nla | nla | nfa | nfa | nfa | ~nla"
EaswiaaXTRA],"Jul 28, 2025 12.57 PM",save,Shanghai Laoqin Information Technology Co Ltd. is a labor management software provide coho.com.cn %e4%b8%8a%e6_,coho.com,51-200,Venture Capital,2014,,15.2,Series,China Growth Capital,6041;,12% | 22%,,,"save | Chide | EaswiaaXTRA] | Jul 28, 2025 12.57 PM | Shanghai Laoqin Information Technology Co | Ltd. is a labor management software provide | coho.com.cn | 51-200 | China | Shanghai | Shanghai | %e4%b8%8a%e6_ | Load contacts | ntacts | Venture Capital | 2014 | 15.2 | 14.5 | Dec 17, 2018 | Series | China Growth Capital | nja | China Growth Cap | nja | nla | nja | nla | nla | nla | nja | nla | nja | nja | nla | 12% | 22% | nla | +D(taamASitR1857327777355601, 603_ | LT, LN;m 201206, CN | 6041; | nla | nla | nla | nla | nja"
Easyecom,"Jul 28, 2025 12.57 PM",save,specializing in eCommerce solutions It offer_ EasyEcom is a white-collar service company easyecomio ealsyecom,solutions.it,51-200,Venture Capital,2015,,2022,Series,nja,"BLOOMINGDALE LAYOUT, OPPOSITE QUETZEL,",5 % | 11% | 28% | 35% | 146% | 290% | 540%,,,"save | Chide | Easyecom | Jul 28, 2025 12.57 PM | specializing in eCommerce solutions It offer_ | EasyEcom is a white-collar service company | easyecomio | 51-200 | 160 | India | Karnataka | Bengaluru | ealsyecom | Load contacts | ntacts | Venture Capital | 2015 | Jan | 2022 | Series | nja | nja | boldbydesign com | nja | nla | nja | nla | 5 % | 11% | 28% | 35% | 146% | 290% | 540% | nla | KAIKONDRAHALLI; Bengaluru; Karnataka 560035, IN | BLOOMINGDALE LAYOUT, OPPOSITE QUETZEL, | nla | nla | nla | nla | nla"
Easyship,"Jul 28, 2025 12.57 PM",save | hide,offers eCommerce businesses tools to Easyship is shipping software provider that eaisyship,easyship.com,51-200,Venture Capital,2015,,,Series,500 Global,"61 Broadway; Suite 1705; New York; New York 10006, US",~2% | 2% | -7% | -17% | 7% | 48% | 96%,,,"save | hide | Easyship | Jul 28, 2025 12.57 PM | offers eCommerce businesses tools to | Easyship is | shipping software provider that | easyship.com | 51-200 | 163 | United States | (USA) | New York | New York | eaisyship | Load contacts | ntacts | Venture Capital | 2015 | Nov 28, 2018 | Series | 500 Global | nla | 500 Global | nla | nla | nla | nla | nla | ~2% | 2% | -7% | -17% | 7% | 48% | 96% | nla | 61 Broadway; Suite 1705; New York; New York 10006, US | nla | nla | nla | nla | nla"
ecoplanet,"Jul 28, 2025 12.57 PM",,EcoPlanet Green Operations GmbH is an energy management company that offers. ecoplanet tech ecoplanet-green- operations,ecoplanet.tech,51-200,Private Equity,2022,,19.5,Series,EQT Ventures,"MarsstraBe 46; Munich; Bavaria 80335, DE",20% | 12% | 104% | 218 % | 0%,,,"ecoplanet | Jul 28, 2025 12.57 PM | EcoPlanet Green Operations GmbH is an | energy management company that offers. | ecoplanet tech | 51-200 | 102 | Germany | Bavaria | Munich | ecoplanet-green- | operations | Load contacts | ntacts | Private Equity | 2022 | 19.5 | 16.7 | Jan 19, 2025 | Series | EQT Ventures | nia | EQT Ventures | nja | nla | nja | nja | 20% | 12% | 104% | 218 % | nla | nfa | nla | 0% | MarsstraBe 46; Munich; Bavaria 80335, DE | nfa | nla | nfa | nla | nla"
Eden,"Jul 28, 2025 12.57 PM",,Eden is provider that offers solutions for desk:_ workplace management software edenworkplace com San Francisco eclen-inc -,jil.com,11-50,Venture Capital,2020,,23,Series,spark jIl.com,"351 California St; Suite 1100; San Francisco, California 94104, US",11% | -4% | 4% | 9% | 20% | 27% | -15%,,,"Eden | Jul 28, 2025 12.57 PM | Eden is | provider that offers solutions for desk:_ | workplace management software | edenworkplace com | 11-50 | United States | (USA) | California | San Francisco | eclen-inc - | Load contacts | ntacts | Venture Capital | 2020 | Mar 2, 2020 | Series | spark jIl.com | Corporate | Redpoint | Con | Organization Orga | 25M | 25M | 23 | nja | 11% | -4% | 4% | 9% | 20% | 27% | nla | -15% | 351 California St; Suite 1100; San Francisco, California 94104, US | nla | nla | nla | nla | nla"
Elmt+RuaMtr A&),"Jul 28, 2025 12.57 PM",,"Shanghai Elitesland Software System Co., Ltd. consulting and software development__. sciftware-system _ stianghai-elitesland-",elitesland.com,"501-1,000",Venture Capital,2004,,14.9,Series,songyuancap com,"137t2815887521+[R+OOLZATEZE; Amg, Lim, CN",-0% | 8 % | 3% | 0% | 5% | 16 %,,,"Elmt+RuaMtr A&) | Jul 28, 2025 12.57 PM | Shanghai Elitesland Software System Co., Ltd. | consulting and software development__. | elitesland.com | 501-1,000 | China | Shanghai | Qingpu | sciftware-system _ | stianghai-elitesland- | Load contacts | ntacts | Venture Capital | 2004 | 14.9 | nia | May | 2023 | Series | songyuancap com | Corporate | songyuancap com | Shanghai Guanglir | 3.2M - | 3.2M | 22 | nja | -0% | 8 % | 3% | 0% | 5% | nla | 16 % | nla | 137t2815887521+[R+OOLZATEZE; Amg, Lim, CN | nla | nla | nla | nla | nla"
Emitwise,"Jul 28, 2025 12.57 PM",save | hide,that provides solutions for businesses to tra_. carbon management company emitwise com London hitwise,emitwise.com,51-200,Venture Capital,2019,,,Series,ArcTern Ventures,"Mar 30, 2022",,,,"save | hide | Emitwise | Jul 28, 2025 12.57 PM | that provides solutions for businesses to tra_. | Emitwise | carbon management company | emitwise com | 51-200 | United Kingdom | (UK) | England | London | hitwise | Load contacts | ntacts | Venture Capital | 2019 | Mar 30, 2022 | Series | ArcTern Ventures | nla | Saltwater | Soc | nla | nla | nla | nla | nla | nla | nfa | nla | nfa | nfa | nla | nla | nla | nla | nla | nla | nla | nla | nla | nlal"
Engage3,"Jul 28, 2025 12.57 PM",save | hide,Engage3 F that provides innovative software solutions pricing intelligence company Davis eligage3,engage3.com,201-500,Private Equity,2008,,64,,,"707 4th St; Davis, California 95616,US",4% | ~5% | 5% | 1% | ~9% | 79% | 123% | 86 % | ~42%,,,"save | hide | Engage3 | Jul 28, 2025 12.57 PM | Engage3 F | that provides innovative software solutions | pricing intelligence company | engage3.com | 201-500 | 181 | United States | (USA) | California | Davis | eligage3 | Load contacts | ntacts | Private Equity | 2008 | 64 | Dec | 2021 | Series D | Arrowroot Capital Manager | Corporate | Sweetwater Privat | dexi.io | compa | nla | 32 | nla | 4% | ~5% | 5% | 1% | ~9% | 79% | 123% | 86 % | ~42% | 707 4th St; Davis, California 95616,US | nla | nla | nla | nla | ~nla"
Enode,"Jul 28, 2025 12.57 PM",save | hide,provides API solutions for connecting and_ an energy technology company that eriode-io,enode.com,11-50,Venture Capital,2020,,17.2,Series,BoxGroup,"Inkognitogata; Oslo, NO","3% | 7%/ | 7% | 20% | 66 % | 252% | 650% | 1,900% | 45%",,,"save | hide | Enode | Jul 28, 2025 12.57 PM | Enode | provides API solutions for connecting and_ | an energy technology company that | enode.com | 11-50 | Norway | Oslo | Oslo | eriode-io | Load contacts | ntacts | Venture Capital | 2020 | 17.2 | Nov | 2022 | Series | BoxGroup | nla | lowercarboncapita | nla | nla | nla | nla | 3% | 7%/ | 7% | 20% | 66 % | 252% | 650% | 1,900% | 45% | Inkognitogata; Oslo, NO | nla | nla | nla | nla | nla"
enVista,"Jul 28, 2025 12.57 PM",save | hide,enVista is a consulting firm specializing in supply chain strategy and enterprise _ envistacorp com (USA) erivista,envistacorp.com,201-500,Venture Capital,2002,,16.1,,,"11555 N. Meridian St , Suite 300; Carmel, IN 46032,US",0% | 1% | 4% | -17% | -36 % | ~27%/ | 18 % | 5%,,,"save | hide | enVista | Jul 28,2025 12.57 PM | enVista is a consulting firm specializing in | supply chain strategy and enterprise _ | envistacorp com | 201-500 | 491 | (USA) | United States | Indiana | Carmel | erivista | Load contacts | ntacts | Venture Capital | 2002 | 16.1 | Nov 30, 2010 | Series B | Borealis Ventures | Corporate | egancapital com | HCM Systems | nja | 50 | nja | 0% | 1% | 4% | -17% | -36 % | ~27%/ | 18 % | 5% | 11555 N. Meridian St , Suite 300; Carmel, IN 46032,US | nia | nja | nla | nia | nja"
ENXMIETRXTRA&,"Jul 28, 2025 12.57 PM",save,specializing in digital economy solutions. WelinkData technology service provider Th_. %e4%b8%8a%e6_.,welinkdata.com,51-200,Venture Capital,2007,,9.6,Series,nla,"200062, CN",~8 % | -8% | -11% | -17% | ~32% | -17%,,,"save | ENXMIETRXTRA& | Jul 28,2025 12.57 PM | specializing in digital economy solutions. | WelinkData | technology service provider | Th_. | welinkdata.com | 51-200 | China | Shanghai | Shanghai | %e4%b8%8a%e6_. | Load contacts | ntacts | Venture Capital | 2007 | 9.6 | 4.5 | Nov 20, 2017 | Series | nla | nla | dchien cn | nla | nla | nla | nla | nla | nla | ~8 % | -8% | -11% | -17% | ~32% | -17% | nla | #D(EXAmESitIE81E23265101-13; Lim, E8m | 200062, CN | nia | nia | nia | nia | nla"
Epic Gardening,"Jul 28, 2025 12.57 PM",save,Epic Gardening is a gardening supply retailer that offers wide range of products includin__. epicgardening com Broomfield ejiic-gardening,epicgardening.com,51-200,Venture Capital,2013,,17.5,Series,Tcg,"660 Compton St; Broomfield, Colorado 80020, US","7%/ | 4% | 24% | 94% | 323% | 1,340% | 3,500% | -10%",,,"save | Epic Gardening | Jul 28, 2025 12.57 PM | Epic Gardening is a gardening supply retailer | that offers | wide range of products includin__. | epicgardening com | 51-200 | United States | (USA) | Colorado | Broomfield | ejiic-gardening | Load contacts | ntacts | Venture Capital | 2013 | 17.5 | 17.5 | Dec 20, 2021 | Series | Tcg | Corporate | Tcg | Modern Farmer | nla | nla | 7%/ | 4% | 24% | 94% | 323% | 1,340% | 3,500% | -10% | 660 Compton St; Broomfield, Colorado 80020, US | nla | nla | nla | nla | nla"
Epost Plus,"Jul 28, 2025 12.57 PM",,specializing in eCommerce and L Epost technology solutions provider logistics Th_ Malaysia Sabah Kota Kinabalu epostplus,epost.co,51-200,Venture Capital,2019,,2.3,Series,nla,"Mile 5.5, Tuaran Road; Kota Kinabalu; Sabah; MY",4% | 4% | -8 % | -26 % | 4% | 4%,,,"Epost Plus | Jul 28, 2025 12.57 PM | specializing in eCommerce and L | Epost | technology solutions provider | logistics Th_ | epost.co | 51-200 | Malaysia | Sabah | Kota Kinabalu | epostplus | Load contacts | ntacts | Venture Capital | 2019 | 2.3 | 1.5 | Jul 19, 2021 | Series | nla | nla | Vynn Capital | nja | nla | nla | nja | 4% | 4% | nla | nfa | -8 % | -26 % | 4% | 4% | nla | Mile 5.5, Tuaran Road; Kota Kinabalu; Sabah; MY | nla | nla | nla | nla | nla"
eSUB Construction Software,"Jul 28, 2025 12.57 PM",save | hide,provider that offers solutions tailored for_ eSUB is : construction management software esub. com San Diego esub,suite.no,51-200,Private Equity,2008,,,Series,Catalyst Investors,"4875 Eastgate Mall Suite No. 250; San Diego, CA 92121, US",-2% | -2% | 2% | ~8 % | -8% | -44% | 50% | ~39% | ~53% | 63%,,,"save | hide | eSUB Construction Software | Jul 28, 2025 12.57 PM | provider that offers solutions tailored for_ | eSUB is : | construction management software | esub. | com | 51-200 | United States | (USA) | California | San Diego | esub | Load contacts | ntacts | Private Equity | 2008 | Apr 30, 2023 | Series | Catalyst Investors | nla | Autodesk | Cat | nla | nla | nla | nla | -2% | -2% | 2% | ~8 % | -8% | -44% | 50% | ~39% | ~53% | 63% | 4875 Eastgate Mall Suite No. 250; San Diego, CA 92121, US | nla | nla | nla | nla | nla"
Eturnity AG,"Jul 28, 2025 12.57 PM",save,Eturnity AG is specializing in renewable energy solutions. software company eturnity ch jurnity-ag,eturnity.ch,51-200,Private Equity,2012,,8.8,Series,Alantra,,,,,"save | Eturnity AG | Jul 28, 2025 12.57 PM | Eturnity AG is | specializing in renewable energy solutions. | software company | eturnity ch | 51-200 | nla | Switzerland | Grisons | Chur | jurnity-ag | Load contacts | ntacts | Private Equity | 2012 | 8.8 | 8.8 | Nun | 2023 | Series | Alantra | nla | Venture Kick | nla | nla | nla | nla | nla | nla | nfa | nla | nla | nla | nla | nla | nla | nla | nla | nla | nla | nla"
Eupry,"Jul 28, 2025 12.57 PM",save | hide,Eupry is temperature compliance solutions for__ company that specializes in eupry com elpry-aps,eupry.com,51-200,Venture Capital,2014,,27.6,Series,Chr: Augustinus Fabrikker,"~Hejrevej 28; 1; Copenhagen N, Capital Region of Denmark 2400,",17% | 23% | 35% | 40% | 110% | 207% | -24%,,,"save | hide | Eupry | Jul 28,2025 12.57 PM | Eupry is | temperature compliance solutions for__ | company that specializes in | eupry com | 51-200 | Denmark | nla | Copenhagen | elpry-aps | Load contacts | ntacts | Venture Capital | 2014 | 27.6 | 23.8 | Dec 19, 2024 | Series | Chr: Augustinus Fabrikker | nja | Chr: Augustinus F: | nia | nia | nja | nja | 17% | 23% | 35% | 40% | 110% | 207% | nja | -24% | ~Hejrevej 28; 1; Copenhagen N, Capital Region of Denmark 2400, | DK | nia | nja | nla | nia | nja"
everstox,"Jul 28, 2025 12.57 PM",save | hide,~everstox is integrated logistics solutions for eCommerc__. logistics company that provides everstox com ~everstox,everstox.com,51-200,Venture Capital,2019,,22.4,Series,Acton Capital,"GanghoferstraBe 68b; Munich, Bavaria 80339, DE",-16% | -12% | -7% | ~20% | 1% | 190% | 814% | 20%,,,"save | hide | everstox | Jul 28, 2025 12.57 PM | ~everstox is | integrated logistics solutions for eCommerc__. | logistics company that provides | everstox com | 51-200 | Germany | Bavaria | Munich | ~everstox | Load contacts | ntacts | Venture Capital | 2019 | 22.4 | Nov 24, 2021 | Series | Acton Capital | nla | Acton Capital | nla | nla | nla | nla | -16% | -12% | -7% | ~20% | 1% | 190% | 814% | 20% | GanghoferstraBe 68b; Munich, Bavaria 80339, DE | nia | nia | nia | nia | nla"
Everysens,"Jul 28, 2025 12.57 PM",hide,specializing rail transport management logistics technology provider everysens com ~evrerysens,everysens.com,51-200,Venture Capital,2015,,6.7,Series,Aglae Ventures,"11 bis rue Beaurepaire; Paris, Ile-de-France 75010, FR",-2% | -12% | -10% | -18 % | 10% | 36 % | 78% | 148%,,,"hide | Everysens | Jul 28, 2025 12.57 PM | Everysens | specializing | rail transport management | logistics technology provider | everysens com | 51-200 | France | ile-De-France | Paris | ~evrerysens | Load contacts | ntacts | Venture Capital | 2015 | 6.7 | 6.6 | May | 2023 | Series | Aglae Ventures | nla | Kima Ventures | nla | nla | nla | nla | -2% | -12% | -10% | -18 % | 10% | 36 % | 78% | 148% | 11 bis rue Beaurepaire; Paris, Ile-de-France 75010, FR | nla | nla | nla | nla | ~nla"
EXA Kehu,"Jul 28, 2025 12.57 PM",,KEHU is a technology company specializing in distribution automation solutions: offers kehutech com kehutech,kehutech.com,51-200,Venture Capital,2015,,,Series,French Partners,"#ZK, Ei4i 200000,CN",-3% | 3% | 6 % | 6 % | 3%,,,"EXA Kehu | Jul 28, 2025 12.57 PM | KEHU is a technology company specializing in | distribution automation solutions: | offers | kehutech com | 51-200 | China | Shanghai | Jing'An | kehutech | Load contacts | ntacts | Venture Capital | 2015 | Feb 26, 2019 | Series | French Partners | nla | French Partners | nja | nla | nja | nja | nla | nla | -3% | 3% | 6 % | nla | 6 % | 3% | nla | Cinda Building, 1399 West Beijing Road, JingAn District, | Shanghai, China; #EI, 7F, | #ZK, Ei4i 200000,CN | nfa | nla | nfa | nla | nla"
EXA@#t WRTJRA&,"Jul 28, 2025 12.57 PM",save | hide,specializing in retail technology solutions_ Burgeon Technology is a software company burgeon.cn e4%b8%8a%e6_,burgeon.cn,201-500,Venture Capital,1990,,15.1,Series,Calor Capital,"Jul 30, 2018",~1% | ~1% | 5% | 6 % | 16 % | 96%,,,"save | hide | EXA@#t WRTJRA& | Jul 28,2025 12.57 PM | specializing in retail technology solutions_ | Burgeon Technology is a software company | burgeon.cn | 201-500 | China | Shanghai | Minhang | e4%b8%8a%e6_ | Load contacts | ntacts | Venture Capital | 1990 | 15.1 | 14.7 | Jul 30, 2018 | Series | Calor Capital | nla | Fengshion Capital | nla | nla | nla | nla | nfa | ~1% | ~1% | 5% | nla | 6 % | 16 % | 96% | nla | nfa | nfa | nfa | nla | nfal"
Explorate,"Jul 28, 2025 12.57 PM",save,Explorate is in freight forwarding and supply chain_. logistics company specializing exploratehq,explorate.co,51-200,Venture Capital,2017,,,Series,Evp,"Valley , Queensland 4006, AU",~1% | -5% | 5% | -11% | 9% | 5% | 175% | 400%,,,"save | Khide | Explorate | Jul 28, 2025 12.57 PM | Explorate is | in freight forwarding and supply chain_. | logistics company specializing | explorate.co | 51-200 | Australia | Queensland | Fortitude Valley | exploratehq | Load contacts | ntacts | Venture Capital | 2017 | Jan 19, 2022 | Series | Evp | nja | Cardinia Ventures | nja | nla | nja | nla | ~1% | -5% | 5% | -11% | 9% | 5% | 175% | 400% | nja | Suite IA, 50 James St; Fortitude | Valley , Queensland 4006, AU | nja | nja | nja | nja | nla"
FarmERPe,"Jul 28, 2025 12.57 PM",save,FarmERP ~company that provides innovative farm __ FarmERP is an agriculture technology company that provides innovative farm __ an agriculture technology farmerp com farmerp-smart - platform,farmerp.com,51-200,Venture Capital,2001,,,Series,TechnoGen IT Services Ind,"Unit No. 17, Znd Floor; Electronic Co-operative Estate Ltd ; Pune",-2% | -18% | -18 % | ~15% | -15% | -28% | 126% | 115% | 152% | 2%,,,"save | Khide | FarmERPG | FarmERPe | Jul 28, 2025 12.57 PM | FarmERP | ~company that provides innovative farm __ | FarmERP is an agriculture technology | company that provides innovative farm __ | an agriculture technology | farmerp com | farmerp.com | 51-200 | India | Maharashtra | Pune | farmerp-smart - | platform | Load contacts | ntacts | Venture Capital | 2001 | nla | Dec 29, 2019 | Series | TechnoGen IT Services Ind | nla | TechnoGen IT Ser | nla | nfa | nla | nfa | nla | nla | -2% | -18% | -18 % | ~15% | -15% | -28% | 126% | 115% | 152% | 2% | maharashtra 411009, IN | maharashtra 411009, | Unit No. 17, Znd Floor; Electronic Co-operative Estate Ltd ; Pune | nla | nfa | nla | nfa | nla | nfa | nla | ~nla | nla"
Fergus,"Jul 28, 2025 12.57 PM",hide,Fergus is ~provider that offers solutions for trades. job management software New Zealand Auckland Auckland fergus-software - lirnited,fergus.com,51-200,Venture Capital,2012,,17.7,Series,Evp,"65 New North Road, Eden Terrace; Auckland, Auckland 1021, NZ",-8 % | 6 % | -12% | -12% | 10% | 30% | 23%,,,"hide | Fergus | Jul 28, 2025 12.57 PM | Fergus is | ~provider that offers solutions for trades. | job management software | fergus.com | 51-200 | New Zealand | Auckland | Auckland | fergus-software - | lirnited | Load contacts | ntacts | Venture Capital | 2012 | 17.7 | Jun | 2022 | Series | Evp | nla | Octopus Ventures | nla | nla | nla | nla | -8 % | 6 % | -12% | -12% | 10% | 30% | 23% | nla | 65 New North Road, Eden Terrace; Auckland, Auckland 1021, NZ | nla | nfa | nfa | nla | ~nla"
Flexe,"Jul 28, 2025 12.57 PM",save | hide,flexible warehousing infrastructure and_. logistics company that provides Seattle fluxe,flexe.com,51-200,Private Equity,2013,,263,Series,Activate Capital,"4786 Ist Ave S; 106; Seattle, Washington 98134,US",41% | 43% | ~3% | -7% | ~51% | ~50% | -12% | 49% | ~45%,,,"save | hide | Flexe | Jul 28,2025 12.57 PM | Flexe | flexible warehousing infrastructure and_. | logistics company that provides | flexe.com | 51-200 | 220 | United States | (USA) | Washington | Seattle | fluxe | Load contacts | ntacts | Private Equity | 2013 | 263 | 119 | Jul 5,2022 | Series | Activate Capital | nla | Redpoint | Sec | nla | nla | nla | nla | 41% | 43% | ~3% | -7% | ~51% | ~50% | -12% | 49% | ~45% | 4786 Ist Ave S; 106; Seattle, Washington 98134,US | nla | nfa | nfa | nla | ~nla"
Food Market Hub,"Jul 28, 2025 12.57 PM",save,Food Market Hub is provides procurement and inventory_. software company that Malaysia Kuala Lumpur Petaling Jaya fcodmarkethub,foodmarkethub.com,51-200,Venture Capital,2017,,12.9,Series,500 Global,"100-2.0118013, 129 Offices (Block J), Jaya One, Jalan Prof",-7% | -18 % | ~15% | -15% | ~27% | ~33% | 32% | 416 %,,,"save | Food Market Hub | Jul 28, 2025 12.57 PM | Food Market Hub is | provides procurement and inventory_. | software company that | foodmarkethub.com | 51-200 | Malaysia | Kuala Lumpur | Petaling Jaya | fcodmarkethub | Load contacts | ntacts | Venture Capital | 2017 | 12.9 | 8.5 | Dec | 2021 | Series | 500 Global | nla | Velocity Ventures | nla | nla | nla | nla | -7% | -18 % | ~15% | -15% | ~27% | ~33% | 32% | 416 % | nla | Ungku Aziz Shah, Seksyen 13; Petaling Jaya, Selangor 46200, | 100-2.0118013, 129 Offices (Block J), Jaya One, Jalan Prof | nla | nla | nla | nla | nla"
Foyr,"Jul 28, 2025 12.57 PM",save | hide,Foyr i that provides innovative tools for interior __. an interior design software company foyr com fcyr,foyr.com,51-200,Venture Capital,2015,,9.7,Series,jllcom,"37-05 74th Ave; 3rd Floor Jackson Heights,; New York; NY, US",~2% | 4% | 5% | 8 % | -4% | -3% | -12% | 0%,,,"save | hide | Foyr | Jul 28,2025 12.57 PM | Foyr i | that provides innovative tools for interior __. | an interior design software company | foyr com | 51-200 | 169 | United States | (USA) | New York | New York | fcyr | Load contacts | ntacts | Venture Capital | 2015 | 9.7 | Jul 16, 2018 | Series | jllcom | nla | Astarc Ventures | nla | nla | nla | nla | ~2% | 4% | 5% | 8 % | -4% | -3% | -12% | 0% | 37-05 74th Ave; 3rd Floor Jackson Heights,; New York; NY, US | nla | nla | nla | nla | ~nla"
FreightAmigo,"Jul 28, 2025 12.57 PM",save | hide,FreightAmigo is a logistics company that specializes in supply chain management an_. S.A.R Hong Kong fr eightamigo,freightamigo.com,51-200,Venture Capital,2017,,,Series,nja,Tong;,9% | 9% | 27% | 64% | 360% | -2%,,,"save | hide | FreightAmigo | Jul 28,2025 12.57 PM | FreightAmigo is a logistics company that | specializes in supply chain management an_. | freightamigo.com | 51-200 | S.A.R | Hong Kong | nla | nla | fr eightamigo | Load contacts | ntacts | Venture | Venture Capital | Capital | 2017 | nla | Aug 9, 2020 | Series | nja | nja | nja | nia | nia | nla | nja | 9% | 9% | nja | nia | 27% | 64% | 360% | -2% | Unit 506, 5/F, InnoCentre, 72 Tat Chee Ave; Kowloon | Tong; | HK | nla | nja | nla | nfa | nla"
Fresho,"Jul 28, 2025 12.57 PM",save | hide,Fresho is wholesale food supply management: It offer_ software provider specializing in fresho-,fresho.com,51-200,Venture Capital,2016,,34.2,,,"412 St Kilda Rd; Melbourne, Victoria 3004, AU",7% | 11% | 28% | 35% | 37% | 88% | 220%,,,"save | hide | Fresho | Jul 28,2025 12.57 PM | Fresho is | wholesale food supply management: It offer_ | software provider specializing in | fresho.com | 51-200 | Australia | Victoria | Melbourne | fresho- | Load contacts | ntacts | Venture Capital | 2016 | 34.2 | Nov 25, 2024 | Series B | nla | nla | SecondQuarter Ve | nla | nla | nla | nla | 7% | 11% | 28% | 35% | 37% | 88% | 220% | nja | 412 St Kilda Rd; Melbourne, Victoria 3004, AU | nja | nja | nfa | nla | nla"
