page,row_index,Status,Company,Added Date,Description,Notes,Website,Headcount,Employees,Country,Region,City,URL,Contact,Ownership Type,Founded,Total Funding,Total Funding SM,Last Funding Amount SM,Last Funding Date,Last Funding Type,Last Funding Lead Investors,Investor Type,Investors,Investments,Investment count,Historical deal size USD,Funding Rounds,Revenue SM,Profile last,viewed,3mo. headcount growth,6mo. headcount growth,Idcount growth,Iyr: headcount growth,2yr: heac,2yr: headcount growth,3yr: headcount growth,4yr: headcount growth,Syr: headcount growth,3mo. web traffic growth,Company addresses,Revenue growth 2023-2024,Revenue growth 2021-2024,Revenue growth 2024-2025,Revenue growth 2024-2027,IPO date
1,157,Khide,Walnut,"Jul 28, 2025 12.:57 PM",Walnut is a software company that specializes,in interactive demo solutions for sales and.,walnut.io,51-200,107,United States,(USA),New York,New York,teamwalnut,Load contacts,ntacts,Venture Capital,2020,"Jan 17, 2022",Series,ACapital Ventures,Other Financial,Sponsor,ACapital Ventures,nja,nla,nja,nla,10%,~2%,-2%,4%,30%,37%,268 %,nla,-27%,"950 &th Ave; New York; 10001,US",nla,nla,nla,nla,nla,,,,
1,158,save,Chide,Jow,"Jul 28, 2025 12.:57 PM",Jow is a grocery delivery and meal planning,~service that helps consumers streamline the_,jow fr,51-200,155,France,ile-De-France,Paris,shop-jow,Load contacts,ntacts,Private Equity,2017,40.6,"Feb 7, 2024",Series,Eurazeo,nja,Kima Ventures,nja,nla,nja,nla,2%,13%,28%,59%,146%,nla,nja,nla,"61, Rue du Faubourg Saint-Denis; Paris, Ile-de-France 75010, FR",nla,nla,nla,nla,nla,,,,,
1,159,ave,Khide,Staffinc Group,"Jul 28, 2025 12.57 PM",Staffinc,specializes in labor supply ad HR services_,an outsourcing company that,staffinc co,51-200,336,Indonesia,Jakarta,Jakarta,staffinc-group,Load contacts,ntacts,Venture Capital,2018,3.9,3.9,"Aug 31, 2023",Series,Access Ventures,nja,Altara Ventures,nja,nla,nja,24,nla,12%,28%,92%,166 %,nla,nla,nja,nla,"Kuningan Timur; Kecamatan Setiabudi; Jakarta, DKI Jakarta.",Cyber =,"Tower; JI H.R Rasuna Said No.13, RT.ZIRW.2, Kuningan,",nla,nla,nla,nla,nla
1,160,save,Chide,Oto,"Jul 28, 2025 12.:57 PM",specializing in eCommerce delivery _,OTO is,white-collar service company,tryoto.com,51-200,253,United States,(USA),Arkansas,Mena,'liverfaster,Load contacts,ntacts,Venture Capital,2019,"Jul 21, 2024",Series,Iliad Partners,nja,programs.500.co,nja,nla,nja,23,nla,2%,10%,58 %,136 %,nla,nla,nja,nla,MENA,"Turkey, SA",nla,nla,nla,nla,,,
1,161,ave,Khide,NextBillion.a,"Jul 28, 2025 12.57 PM",specializing in logistics and route optimizati_,NextBillion.ai is a software company,nextbillion.ai,51-200,Singapore,nla,Singapore,extbillion-ai,Load contacts,ntacts,Venture Capital,2020,37.3,"Sep 21, 2022",Series,Microsoft Accelerator,nja,Mirae Assets,nja,nla,nja,nla,-10%,-10%,-16%,-23%,-13%,23%,97%,25%,"Straits Vw; Marina South, Singapore 018978, SG",nla,nja,nja,nja,nja,,,,,,
1,162,save,Khide,CRYDD Supply Chain,System,Logistics Operating,"Jul 28, 2025 12.57 PM",specializing in supply chain solutions. They__,Grydd,logistics software provider,grydd.com,51-200,United States,(USA),Washington,Seattle,giydd,Load contacts,ntacts,Venture Capital,2018,0.9,nja,"Jun 30,2024",Series,BDev Ventures,nja,newchip com,nja,nla,nja,nla,-9%,-6%,6 %,-6%,6 %,-17%,16 %,93%,480%,nla,"2815 Elliott Ave; 10O; Seattle, Washington 98121, US",nla,nla,nla,nla | nla
1,163,save,Khide,Insite Al,"Jul 28, 2025 12.57 PM",specializing in advanced analytics ad_,Insite Al is an,solutions provider,insite.ai,51-200,United States,(USA),Arkansas,Bentonville,insite-ai,Load contacts,ntacts,Venture Capital,2019,20.3,"Oct 10, 2022",Series,AIM,Angel Investors Marll,nla,AIM,Angel Invesi,nla,nla,nla,nla,3%,8%,8 %,-4%,4%,1%,116 %,8 %,318%,nla,"Bentonville, Arkansas 72712, US",nla,nla,nla,nla,nla
1,164,save,hide,Hicx,"Jul 28, 2025 12.57 PM",provider that,HICX is a supplier management software,specializes,enhancing-_,hicx com,51-200,United Kingdom,(UK),England,London,hicx,Load contacts,ntacts,Venture Capital,2004,"Sep 14, 2022",Series,Wavecrest Growth Partner:,nla,Wavecrest Growth,nla,nla,nla,nla,2%,-4%,-14%,4%,37%,63%,210%,39%,"Surrey Quays; 505; London; London SE8 SEN, GB",nla,nla,nla,nla,nla,,,,
1,165,Khide,PlatformE,"Jul 28, 2025 12.57 PM","that offers the RIPE SDK, enabling business.",Platforme,software development company,platforme.com,11-50,Portugal,Porto,Porto,platforme -,international,Load contacts,ntacts,Venture Capital,2016,16.6,"Oct 27, 2019",Series,nla,Corporate,pmeinvestimentos,Catalyst Capital,nla,nla,nla,~5%,5%,~15%,-15%,5%,4%,11%,31%,nla,"Rua Sa da Bandeira; 605; Porto, Porto 4000-437, PT",nla,nla,nla,nla,nla,,,,
1,166,Khide,QueueBuster POS,"Jul 28, 2025 12.57 PM",offers,QueueBuster is a technology company that,comprehensive point-of-sale (POS)__,queuebuster co,51-200,104,India,Uttar Pradesh,Noida,queuebuster-co,Load contacts,ntacts,Venture Capital,2015,"Jun 12, 2022",Series,Chiratae Ventures,nla,DMI AIF - The Spa,nla,nla,nla,nla,41%,-0%,0%,6 %,11%,nla,nfa,nla,nla,"401, 4th Floor; Pegasus One Tower; Plot no. A-10, Sector 68;","Noida, Uttar Pradesh 201307, IN",nla,nla,nla,nla,nla,,,,
1,167,ave,(hide,Sales Layer,"Jul 28, 2025 12.57 PM",Sales Layer =,specializes in Product Information.,software company that,saleslayer com,51-200,Spain,Community,Valencian,Valencia,~seiles-layer,Load contacts,ntacts,Venture Capital,Venture,Capital,2013,30.4,"Jun 17, 2022",Series,PeakSpan Capita,nla,Swanlaab Venture,nla,nla,nla,nla,2%,2%,4%,16 %,12%,76%,185 %,-26%,"Alvaro de Bazan, 10, Pasaje de","Valencia 46010,ES","Luz; Planta 82; Valencia,",nla,nla,nla,nla,nla
1,168,(hide,Miro,"Jul 28, 2025 12.57 PM",Miro,offers,digital platform designed for remote,collaboration software provider that,miro_,Lcom,"1,001-5,000","2,789",United States,(USA),California,San Francisco,mirohq,Load contacts,ntacts,Venture Capital,2011,476.3,400,Jan,2022,Series,Accel,Corporate,AltalR Capital,Around,cardir,nla,307,nla,~1%,~2%,2%,-0%,0%,15%,54%,185 %,715 %,-8%,"535 Mission St; San Francisco, California 94105, US",nla,nla | nla | nla | nla
1,169,Khide,BeyondTrucks,"Jul 28, 2025 12.57 PM",BeyondTrucks is,specializes in,providing transportation .,software company that,beyondtrucks com,51-200,United States,(USA),California,San Francisco,halulistix,Load contacts,ntacts,Venture Capital,Venture,Capital,2019,nla,"Sep 29, 2024",Series,Deep Tech Fund (an Alumn,nla,Pear VC,imo.!,nla,nla,nla,nla,10%,29%,55%,82%,287%,nla,nla,-59%,"1 Ferry Bldg;; Suite 201; San Francisco, California 94111, US",nla,nla,nla,nla,nla,
1,170,(hide,Osaro,"Jul 28, 2025 12.57 PM",warehouse automation solutions: They_,OSARO,robotics company specializing in,~Osaro,com,51-200,United States,(USA),California,San Francisco,~oxiaroinc,Load contacts,ntacts,Private Equity,2015,96.3,"Aug 17, 2021",Series,AAF Management Ltd:,nla,Comcast Ventures,nla,nla,nla,nla,41%,11%,8%,8 %,16 %,8 %,16 %,42%,~2%,"500 Third Street; San Francisco, CALIFORNIA 94107, US",nla,nla,nla,nla,nla,,,
1,171,Cave,hide,SourceDay,"Jul 28, 2025 12.57 PM",SourceDay,company that offers software solutions for__,supply chain management,sourceday com,51-200,United States,(USA),Texas,Austin,sciurceday-com,Load contacts,ntacts,Venture Capital,Venture,Capital,2013,57.6,31.5,"Feb 14, 2022",Series,Deep Tech Fund (an Alumn,nla,ATX Venture Partn,nla,nla,nla,nla,-12%,-17%,-20%,-35%,-33%,2%,4%,-23%,"9737 Great Hills Trail; Suite 10O; Austin; Texas 78759,US",nla,nla,nla,nla,nla,
1,172,Khide,Survicate,"Jul 28, 2025 12.57 PM",Survicate is,offers tools for collecting and analyzing__.,survey software provider that,survicate.com,51-200,United States,(USA),nla,nla,~suirvicate,Load contacts,ntacts,Private Equity,2013,3.5,2.4,"Jul 19, 2021",Series,Airbridge Equity Partners,nla,SpeedUp Venture,nla,nla,nla,nla,5%,5%,7%,3%,33%,115%,100%,~4%,"ulica Przyrynek 14; Warsaw; MA 00-219, PL",nla,nla,nla,nla,nla,,,,
1,173,Khide,osapiens,~ul 28,2025 12.57 PM,osapiens,~solutions t0 help businesses comply with _.,company that provides ESG,osapiens com,"""201-500",468,Germany,Baden -,Wurttemberg,Mannheim,oxiapiens,Load contacts,ntacts,Private Equity,2018,147.2,119.8,"Jul 28, 2024",Series,Armira,Corporate,gsam com,Arr,certirex com,nla,nla,8%,22%,83%,254%,588%,"1,131%","1,934%",19%,Julius-Hatry-StraBe,DE,"Mannheim, Baden-Wirttemberg 68163,",nla,nla,nla,nla,nla
1,174,Cave,(hide,Qoyod,Jo,"Jul 28, 2025 12.57 PM",offers cloud-based solutions for businesses.,Qoyod,an accounting software provider that,qoyod.com,51-200,249,Saudi Arabia,Riyadh,Riyadh,wwyod-,7d9282%d9%8a..,Load contacts,ntacts,Sponsor,Other Financial,2016,"Dec 28, 2020",Series,Merak Capital,nla,Arzan Venture Car,nla,nla,nla,20,nla,5%,13%,19%,76%,nla,492%,896%,-11%,Riyadh; SA,nla,nla,nla,nla,,
1,175,Khide,Katana Cloud Inventory,"Jul 28, 2025 12.57 PM",Katana,cloud inventory management solutions:,software company that provides,katanamrp:,com,51-200,126,Estonia,Harju,Tallinn,Itanamrp,Load contacts,ntacts,Private Equity,2017,"Oct 11, 2022",Series,42cap,nla,Startup Wise Guy:,nla,nla,nla,nla,-13%,-16%,-16 %,-16%,-16 %,-18%,8 %,137%,447%,-18%,"Staapli 12; 13; Tallinn, Harju 10415, EE",nla,nla,nja,nja,nja,,,
1,176,save,Khide,Blaze@,"Jul 28, 2025 12.57 PM",BLAZE is,offers,comprehensive suite of solutions fo_,cannabis software provider that,blaze me,51-200,United States,(USA),California,Anaheim,gublaze,Load contacts,ntacts,Venture,Venture Capital,Capital,2017,9.5,"Mar 30, 2021",Series,Act One Ventures,Corporate,Delta Emerald Ven,"Greenline,",BLAZ,nla,nla,nla,~2%,2%,-19%,-23%,29%,170%,342%,~15%,155,"Riverview Dr; STE 304; Anaheim; California 92808, US",nla,nla,nla,nla | nla
1,177,Khide,Rhim Ewrrtra&,"Jul 28, 2025 12.57 PM",specializes in e-commerce solutions. The_,Kuaidi1oo,logistics service provider that,kuaidi1oo.com,"""201-500",China,Guangdong,Shenzhen,%e6%b7%b1%e5_,Load contacts,ntacts,Venture Capital,2015,5.8,"Mar 23, 2017",Series,nla,nla,nla,nla,nla,nla,nla,nla,nla,nfa,20%,nla,-40%,nla,100%,~21%,Rhimmarranbie-318AM2013(A #tRtimmausw,"#TR4J); Rtim,r$A 518000,CN",nla,nla,nla,nla,nla,,,,
1,178,Beroe Inc,"Jul 28, 2025 12.57 PM",Beroe is a procurement intelligence provider,that offers Al-powered solutions to help.,beroeinc com,"501-1,000",796,United States,(USA),North Carolina,Raleigh,buroe-inc,Load contacts,ntacts,Private Equity,2006,May,2016,Series,Access Asset Managers Pr,Corporate,Access Asset Mar,nnamu,Forest,nla,84,nla,1%,4%,10%,24%,35%,47%,56 %,-15%,"1017 Main Campus Drive, Centennial Campus ; Raleigh, NC","27606, US",nla,nla,nla,nla,nla,,,,
1,179,{Kz,"Jul 28, 2025 12.57 PM",Huoban,specializes in providing digital solutions for__,software company that,huoban com,"501-1,000",China,Beijing,Beijing,%e4%bc%/99%e4_,Load contacts,ntacts,Private Equity,2012,97.9,"Dec 15, 2021",Series,Engage Capital,nla,trustbridgepartner,nla,nla,nla,nla,6%,9%,nla,5%,6%,nla,nla,~27%,"shangdisanjie; haidian; Beijing, beijing; CN",nla,nla,nla,nla,nla,,,,,,,
1,180,ave,Khide,Tuyen dung Sapo,"Jul 28, 2025 12.57 PM",Sapo Technology JSC,that provides comprehensive sales:,software company,sapo.vn,"501-1,000",348,Vietnam,Hanoi,Hanoi,~Stipo-vn,Load contacts,ntacts,Venture,Venture Capital,Capital,2008,nla,"May 14, 2020",Series,Smilegate Investment,nla,() #tin-I-,nla,nla,nla,nla,~0%,0%,0%,~1%,110%,165 %,461%,-13%,"266 Doi Can street; Ladeco Building; Hanoi, Vietnam 100OO, VN",nla,nla,nla,nla,nla,,
1,181,Scoutbee,~ul 28,2025 12.57 PM,Scoutbee is,~company that offers Al-powered solutions f_.,procurement technology,scoutbee com,11-50,United States,(USA),California,San Francisco,scoutbee,Load contacts,ntacts,Venture,Venture Capital,Capital,2015,"Jan 19, 2020",Series,42cap,nla,Lakestar,HV (,nla,nla,nla,nla,~22%,-26%,-35%,35%,-39%,~56%,-64%,-58%,nla,San Francisco,"CA 94133, US",nla,nla,nla,nla,nla,
1,182,Cave,Khid,ROI Hunter,"Jul 28, 2025 12.57 PM",ROI Hunter is,specializes in product performance,digital marketing agency that,roihunter:com,51-200,Czech Republic,South Moravian,Brno,rci-hunter,Load contacts,ntacts,Corporate,2014,5.7,5.2,"Sep 24, 2018",Series,Grupa Radiowa Agory Sp.,nla,Grupa Radiowa Ac,nla,nla,nla,nla,3%,6%,6 %,3%,-7%6,3%,33%,21%,nla,VInena,"Brno, South Moravia 602 00, CZ",nla,nla,nla,nla,nla,,
1,183,Cave,Khid,Everstream Analytics,~ul 28,2025 12.57 PM,Everstream Analytics,management company that provides.,supply chain risk,everstream.ai,"""201-500",224,United States,(USA),California,San Marcos,resilience360,Load contacts,ntacts,Private Equity,2012,Apr =,2023,Series,Morgan Stanley,Corporate,Morgan Stanley,BlueNode Inc.,nla,"""28",nla,2%,4%,1%,14%,57%,157%,nla,14%,"251 N City Dr; San Marcos, California 92078,US",nla,nla,nla,nla,nla,,
1,184,Calendly,"Jul 28, 2025 12.57 PM",that provides,Calendly is,scheduling software company,platform for automating__,calendly com,"501-1,000",558,United States,(USA),Georgia,Atlanta,cailendly,Load contacts,ntacts,Venture Capital,nla,350.6,350,"Jan 25, 2021",Series,Iconiq,Corporate,OpenView,prelude co,4.8M - 4.8M,nla,~5%,-14%,-14%,~14%,-19%,6%,100%,253%,4%,"271 I7th St NW; IOth Floor; Atlanta, Georgia 30363, US",nla,nla,nla,nia,nla,,,
1,185,Fabric,"Jul 28, 2025 12.57 PM",Fabric,that provides innovative solutions for retailer__,an automated fulfillment company,getfabric com,"""201-500",662,United States,(USA),New York,New York,fabriclogistics,Load contacts,ntacts,Private Equity,2015,336,200,"Oct 25, 2021",Series,Aliment Capital,nla,Koch Disruptive Te,nla,nla,nla,nla,2%,9%,20%,33%,37%,89%,155%,-26%,"524 Broadway; New York, New York 10012, US",nla,nla,nla,nla,nla,,,,
1,186,Prewave,"Jul 28, 2025 12.57 PM",Prewave,~company that offers solutions for risk__,supply chain management,prewave com,201-500,237,Austria,Vienna,Vienna,plewave,Load contacts,ntacts,Venture Capital,2017,98.1,67.5,"Jun 24,2024",Series,Creandum,nla,Hedosophia,nla,nla,nla,30,nla,33%,7%,26%,119%,438%,"1,085 %","2,533%",72%,"Rothschildplatz 4; 3rd Floor; Vienna, 1020 , AT",nla,nla,nla,nia,nla,,,,
1,187,Reach Accountant,"Jul 28, 2025 12.57 PM",Reach Process Outsourcing,company that offers,range of solutions:,software,reachaccountant cor,11-50,India,Tamil Nadu,Chennai,reach-accountant,Load contacts,ntacts,Venture Capital,2009,0.5,0.5,"Oct 10, 2013",Series,peakxvcom,nla,peakxvcom,nla,nla,nla,nla,nla,nla,-12%,-16%,-14%,-16%,~6%,nla,"EVOMA BUSINESS CENTRE; KR Puram; Bangalore, Karnataka","800049, IN",nla,nla,nla,nla,nla,,,,
1,188,CSEMREENRTJRA],"Jul 28,2025 12.57 PM",3VJIA is,design solutions for the home decoration a__,software company specializing in,3vjia.com,"501-1,000",183,China,Guangdong,Guangzhou,es%bg%bf%ea__,Load contacts,ntacts,Venture Capital,2013,117.6,nla,"Jun 18, 2023",Series,FENFWree+TR,nla,FANFW#Z?,nla,nla,nla,nla,nla,39%,0%,~2%,nla,18 %,84%,nla,"Cm,CSA510663, CN",nia,nia,nia,nia,,,,,,
1,189,Vinculum Group,"Jul 28,2025 12.57 PM",specializing,Vinculum Group is,omnichannel retail technolog--,SaaS provider,vinculumgroup.com,201-500,550,India,Uttar Pradesh,Noida,Iculumgroup,Load contacts,ntacts,Venture Capital,2007,"Jul 24, 2023",Series,Accel,nla,InnoVen Capital In,nla,nla,nla,nla,~0%,~2%,2%,~6%,6 %,-70,7%,8 %,12%,~24%,Vinculum Solutions Private Limited; First Floor; Tower,"TechSpace, Plot No.",Block,"Sector 62; Noida, Uttar Prades __",Candor,nla,nja,nfal,,
1,190,save,Aiperia,"Jul 28,2025 12.57 PM",supply chain optimization for the food__,AIPERIA is a software company specializing in,aiperia.com,51-200,Germany,nla,nla,planerai,Load contacts,ntacts,Venture Capital,2021,"Apr 17, 2024",Series,Earlybird Venture Capital,nla,LBBW Venture Cal,nla,nla,nla,nla,3%,1%,9%,nla,nla,nia,nia,nla,"Gitterle 2; GroBrinderfeld, Baden-Wirttemberg 97950, DE",nia,nla,nla,nia,nla,,,,,,,,
1,191,save,Tailor,"Jul 28, 2025 12.57 PM",that specializes,Tailor is .,software development company,customizable ERP _,tailor tech,11-50,141,United States,(USA),California,San Francisco,tailortech,Load contacts,ntacts,Private Equity,2021,26.3,"May 19, 2025",Series,Anri,nla,Anri,Combil,nla,nla,nla,nla,7%,42%,166 %,540%,"1,466 %",nla,-19%,"San Francisco, CA, US",nla,nla,nla,nla,nla,,,
1,192,save,ENXMIETRXTRA&,"Jul 28,2025 12.57 PM",specializing in digital economy solutions.,WelinkData,technology service provider,Th_.,welinkdata.com,51-200,China,Shanghai,Shanghai,%e4%b8%8a%e6_.,Load contacts,ntacts,Venture Capital,2007,9.6,4.5,"Nov 20, 2017",Series,nla,nla,dchien cn,nla,nla,nla,nla,nla,nla,~8 %,-8%,-11%,-17%,~32%,-17%,nla,"#D(EXAmESitIE81E23265101-13; Lim, E8m","200062, CN",nia,nia,nia,nia,nla,,
1,193,save,CLO Virtual Fashion,"Jul 28, 2025 12.57 PM",specializing in 3D garment simulation and_.,CLO Virtual Fashion is,software company,clovirtualfashion con,201-500,425,South Korea,Seoul,Seoul,clo-virtual-fashion-,inc-,Load contacts,ntacts,Private Equity,2009,40.7,34.8,"Dec 15, 2024",Series,Atinum Investment,Corporate,kdbcapital.co.kr,"SwatchOn Co., Ltc",5.7M,5.9M,nla,nla,nla,nfa,nla,nla,nla,nla,nla,~17%,Teheran-ro;,"Finance Center; Seoul, 152 06236,KR","Gangnam-gu, Seoul, Republic of Korea; Gangnam",nla,nla,nla,nla,nla
1,194,save,Smart Fabric,"Jul 28, 2025 12.57 PM",manufacturing and software solutions__,##EMU)RTTJIRA :] is a textile,sfabric com,501-,000,China,Guangdong,Shenzhen,~srart-fabric,Load contacts,ntacts,Venture Capital,2014,560,460,"Jan 13, 2025",Series C,nla,nla,hsgcap.com,nla,nla,nla,nla,6%,~5%,5%,6%,6 %,14%,33%,5%,433%,nia,Nanshan district Science and Technology Park; Shenzhen; CN,nia,nia,nia,nia,nla,,,
1,195,save,Recurrency,"Jul 28, 2025 12.57 PM",Recurrency,specializes,ERP automation solutions for__,software company that,recurrency.com,51-200,United States,(USA),California,San Francisco,recurrency-ai,Load contacts,ntacts,Venture Capital,2018,22.1,"Jan 31, 2023",Series,9Yards Capital,nla,Combinator,nla,nla,nla,nla,16 %,19%,61%,51%,35%,212%,nla,16%,"San Francisco, California 94114,US",nla,nia,nia,nia,nla,,,,
1,196,save,hide,everstox,"Jul 28, 2025 12.57 PM",~everstox is,integrated logistics solutions for eCommerc__.,logistics company that provides,everstox com,51-200,Germany,Bavaria,Munich,~everstox,Load contacts,ntacts,Venture Capital,2019,22.4,"Nov 24, 2021",Series,Acton Capital,nla,Acton Capital,nla,nla,nla,nla,-16%,-12%,-7%,~20%,1%,190%,814%,20%,"GanghoferstraBe 68b; Munich, Bavaria 80339, DE",nia,nia,nia,nia,nla,,,,,
1,197,save,Khid,Nyshex,"Jul 28, 2025 12.57 PM",NYSHEX is a logistics technology company,that provides digital infrastructure for global__.,nyshex com,51-200,United States,(USA),New York,New York,nW-york-shipping-,exchange-nyshex-,Load contacts,ntacts,Private Equity,2014,68.9,nla,"Nov 18, 2024",Series C,Blumberg Capital,nla,tectonic vc,nla,nla,nla,nla,nla,33%,3%,-13%,435%,~24%,nla,nla,-14%,"New York, NY 10004, US",nla,nla,nla,nla,nla,,
2,6,save,hide,,Ignite,"Jul 28, 2025 12.57 PM",Ignite,"that provides solutions for compliance,",is a sustainable procurement platform,ignite.no,51-200,Norway,Oslo,Oslo,igniteprocurement,Load contacts,ntacts,Venture Capital,2017,16.4,4.8,Nov,2023,Series,Arkwright X,nla,griegkapital.no,nla,nla,nla,nla,2%,2%,5%,18 %,14%,77%,212%,5%,"Nedre Vollgate 11; Sentrum; Oslo 0158,NO",nla,nla,nla,nla,nla,,
2,7,hide,Sendcloud,"Jul 28, 2025 12.57 PM",Sendcloud,that offers solutions,shipping software provider,fol,e-commerce,sendcloud com,201-500,466,Netherlands,North Brabant,Eindhoven,seindcloud,Load contacts,ntacts,Private Equity,2012,200.9,177,"Sep 14, 2021",Series,HPE Growth,Corporate,SoftBank Investme,Lox,tracey SUI,nja,40,nja,10%,9%,7%,12%,nla,50%,142%,-8 %,"Stadhuisplein 10; Eindhoven, North Brabant 5611 EM, NL",nla,nla,nla,nla,nla,
2,8,Gave,hide,,Clearstory,"Jul 28, 2025 12.57 PM",provides change order management tools fo_.,Clearstory [,software company that,clearstorybuild,51-200,United States,(USA),California,San Francisco,e)tracker,Load contacts,ntacts,Venture Capital,2018,33.8,"Jun 26, 2024",Series,Building Ventures,Corporate,Building Ventures,DataStreet,nja,nla,7%,20%,24%,51%,nla,nfa,nla,167%,San Francisco,"California, US",nla,nla,nla,nla,nla,,,
2,9,hide,Axelor,"Jul 28, 2025 12.57 PM",Axelor =,Open Source business application suite_,software company that offers an,axelorcom,51-200,136,France,ile-De-France,Paris,arelor,Load contacts,ntacts,Venture Capital,2005,10.5,10.5,May,2022,Series,Elevation Capital Partners,nla,Elevation Capital F,nja,nla,nja,nja,-1%,-4%,4%,-17%,-11%,88 %,189%,231%,22%,"Paris, FR",nla,nla,nla,nla,nla,,
2,10,hide,Nexite,"Jul 28, 2025 12.57 PM",specializing in loT and Al solutions for fashio_,Nexite,retail technology company,nexite.io,51-200,Israel,Tel Aviv,Tel,Aviv-Yafo,nexiteretail,Load contacts,ntacts,Venture Capital,2017,100,May,2022,Series,Battery Ventures,nla,Saban Ventures,nla,nla,nja,nja,5 %,10%,12%,nfa,nla,nla,nla,nla,"126 Igal Alon; Tel Aviv, Tel Aviv, IL",nla,nla,nla,nla,nla,,,,
2,11,hide,Deliverect,"Jul 28, 2025 12.57 PM",specializing in food tech solutions for_,Deliverect,technology provider,deliverect com,201-500,453,Belgium,Flanders,Ghent,duliverecthq,Load contacts,ntacts,Venture Capital,2018,236.8,150,"Jan 23, 2022",Series,Alkeon Capital,Corporate,Newion,Redp,Tabesto by Delivel,nja,nja,1%,~2%,-4%,4%,6 %,-1%,124%,538%,-10%,"Foreestelaan 82 bus 101; Ghent, Flemish Region 9000, BE",nfa,nla,nfa,nla,nla,,,
2,12,hide,Celus,"Jul 28, 2025 12.57 PM",specializing in electronics design solutions I.,CELUS GmbH is =,technology company,celus io,51-200,Germany,Bavaria,Munich,caintunity,Load contacts,ntacts,Venture Capital,2018,31.6,25.5,Jul %,2022,Series,2xN,nla,Plug and Play Tecl,nja,nla,nja,nja,nla,0%,24%,35%,116 %,236 %,266 %,55%,"RidlerstraBe 57; Munich, Bavaria 80339, DE",nla,nla,nla,nla,nla,,,,
2,13,Kinexon,"Jul 28, 2025 12.57 PM",specializing in industrial automation solution:,KINEXON i,technology company,kinexon com,201-500,211,Germany,Bavaria,Munich,kinexon,Load contacts,ntacts,Private Equity,2012,147.8,130,"Apr 25, 2022",Series,BMW i Ventures,nla,EIT Digital,Eul,nla,nla,nja,29,nja,-4%,-10%,-11%,11%,-17%,-16 %,13%,23%,~20%,"Schellingstr: 35; Munich, Bavaria 80799,DE",nla,nla,nla,nla,nla,,
2,14,hide,Sendoso,"Jul 28, 2025 12.57 PM",Sendoso is,specializes in personalized gifting solutions.,corporate gifting service that,sendoso.com,201-500,399,United States,(USA),California,San Francisco,seindoso,Load contacts,ntacts,Venture Capital,2016,152.7,100,"Sep 13, 2021",Series,Craft Ventures,Corporate,Storm Ventures,Alyce by Sendoso,nja,43,nja,2%,-1%,1%,~2%,-2%,-16 %,-49%,-16 %,43%,9%,"447 Battery St; Floor 2; San Francisco, California 94111, US",nla,nla,nla,nla,nla,
2,15,EXA Kehu,"Jul 28, 2025 12.57 PM",KEHU is a technology company specializing in,distribution automation solutions:,offers,kehutech com,51-200,China,Shanghai,Jing'An,kehutech,Load contacts,ntacts,Venture Capital,2015,"Feb 26, 2019",Series,French Partners,nla,French Partners,nja,nla,nja,nja,nla,nla,-3%,3%,6 %,nla,6 %,3%,nla,"Cinda Building, 1399 West Beijing Road, JingAn District,","Shanghai, China; #EI, 7F,","#ZK, Ei4i 200000,CN",nfa,nla,nfa,nla,nla,,,,,
2,16,autone,"Jul 28, 2025 12.57 PM",specializing in inventory management _,Autone is,white-collar service company,autone.io,51-200,United Kingdom,(UK),England,London,alitoneautone,Load contacts,ntacts,Venture Capital,2021,21.2,16.9,"Oct 15, 2024",Series,2100 Ventures,nla,Motier Ventures,nla,nla,nja,nja,5 %,27%,151%,420%,'500%,nfa,nfa,-2%,"London, England, GB",nla,nla,nla,nla,nla,,,,,
2,17,hide,Logcomex,"Jul 28, 2025 12.57 PM",Logcomex is a logistics technology company,that provides software solutions for planning_,logcomex com,201-500,386,Brazil,Parana,Industrial,Cidade,De.,logcomex,Load contacts,ntacts,Private Equity,2016,44.5,33.6,"Nov 21, 2023",Series,Alexia Ventures,nla,bossa invest,nla,nla,nja,nja,4%,6 %,12%,23%,14%,118 %,451%,nla,Avenida Candido de Abreu 70; Torre,"80530-000, BR","andar; Curitiba, Parana",nla,nla,nla,nla,nla,
2,18,Elmt+RuaMtr A&),"Jul 28, 2025 12.57 PM","Shanghai Elitesland Software System Co., Ltd.",consulting and software development__.,elitesland.com,"501-1,000",China,Shanghai,Qingpu,sciftware-system _,stianghai-elitesland-,Load contacts,ntacts,Venture Capital,2004,14.9,nia,May,2023,Series,songyuancap com,Corporate,songyuancap com,Shanghai Guanglir,3.2M -,3.2M,22,nja,-0%,8 %,3%,0%,5%,nla,16 %,nla,"137t2815887521+[R+OOLZATEZE; Amg, Lim, CN",nla,nla,nla,nla,nla,,,,
2,19,PT Esensi Solusi Buana (ESB),"Jul 28, 2025 12.57 PM",Esensi Solusi Buana,that,specializes in providing cloud-based _,technology company,esb.id,201-500,351,Indonesia,Banten,Tangerang,pI-esensi-solusi -,buana,Load contacts,ntacts,Private Equity,2018,39.6,"Aug 28, 2022",Series,Alpha JWC Ventures,nla,Alpha JWC Ventur,nja,nla,nja,nja,3%,7%,-1%,1%,-12%,58 %,290%,nfa,5%,Tangerang; ID,nfa,nla,nfa,nla,nla,,,
